TextId,CISI,Region,Site,Type,Symbol,Material,Complete,Direction,RawText,ReadingTokens,StructuralParse,StructuralTemplate,SemanticFrame,SemanticOptions,SlotFillers,NameLikeBlocks,CrossFrameReuse,MinimalPairEvidence,ReconstructionConfidence,PhoneticReadiness,NextTest
1750.1,H-867,Inter-Riverine,Harappa,TAB:B,Bull1:U,-,Y,R/L,+520-240-002-405-501+,501-405-002-240-520,PRODUCTIVE_SLOT(<START>_240)[501-405-002] | PRODUCTIVE_SLOT(002_<END>)[240-520],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|240:501-405-002@1-3; 002|<END>:240-520@4-5,,240-520,240-520,0.53,Medium,"compare all artifacts in frames 002|<END>, <START>|240; test reused filler(s) 240-520 across frames; inspect minimal alternation(s) involving 240-520"
1751.1,H-868,Inter-Riverine,Harappa,TAB:B,Bull1:I,-,Y,R/L,+520-240-002-405-501+,501-405-002-240-520,PRODUCTIVE_SLOT(<START>_240)[501-405-002] | PRODUCTIVE_SLOT(002_<END>)[240-520],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|240:501-405-002@1-3; 002|<END>:240-520@4-5,,240-520,240-520,0.53,Medium,"compare all artifacts in frames 002|<END>, <START>|240; test reused filler(s) 240-520 across frames; inspect minimal alternation(s) involving 240-520"
1752.1,H-869,Inter-Riverine,Harappa,TAB:B,Bull1:I,-,Y,R/L,+520-240-002-405-501+,501-405-002-240-520,PRODUCTIVE_SLOT(<START>_240)[501-405-002] | PRODUCTIVE_SLOT(002_<END>)[240-520],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|240:501-405-002@1-3; 002|<END>:240-520@4-5,,240-520,240-520,0.53,Medium,"compare all artifacts in frames 002|<END>, <START>|240; test reused filler(s) 240-520 across frames; inspect minimal alternation(s) involving 240-520"
1753.1,H-870,Inter-Riverine,Harappa,TAB:B,Bull1:I,-,Y,R/L,+520-240-002-405-501+,501-405-002-240-520,PRODUCTIVE_SLOT(<START>_240)[501-405-002] | PRODUCTIVE_SLOT(002_<END>)[240-520],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|240:501-405-002@1-3; 002|<END>:240-520@4-5,,240-520,240-520,0.53,Medium,"compare all artifacts in frames 002|<END>, <START>|240; test reused filler(s) 240-520 across frames; inspect minimal alternation(s) involving 240-520"
1924.1,K-65,Inter-Riverine,Kalibangan,SEAL:CY,Scene,-,Y,T/B,+390-003+,003-390,PRODUCTIVE_SLOT(<START>_390)[003] | 390:CLOSING_FORMULA_MARKER,PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER,LowEvidenceSequence,undetermined; requires visual/contextual evidence,<START>|390:003@1-1,,003,003,0.53,Medium,compare all artifacts in frames <START>|390; test reused filler(s) 003 across frames; inspect minimal alternation(s) involving 003
2191.1,M-1857,Lower Indus,Mohenjo-daro,SEAL:S,Bull1,Steatite,Y,R/L,+390-003+,003-390,PRODUCTIVE_SLOT(<START>_390)[003] | 390:CLOSING_FORMULA_MARKER,PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER,LowEvidenceSequence,undetermined; requires visual/contextual evidence,<START>|390:003@1-1,,003,003,0.53,Medium,compare all artifacts in frames <START>|390; test reused filler(s) 003 across frames; inspect minimal alternation(s) involving 003
2263.1,M-963,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Y,R/L,+740-176-002-817+,817-002-176-740,817:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX,INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,002|740:176@3-3,,176,176,0.53,Medium,compare all artifacts in frames 002|740; test reused filler(s) 176 across frames; inspect minimal alternation(s) involving 176
2323.1,M-1755,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:L,Steatite,Y,R/L,+740-176-002-861+,861-002-176-740,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX,INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,002|740:176@3-3,,176,176,0.53,Medium,compare all artifacts in frames 002|740; test reused filler(s) 176 across frames; inspect minimal alternation(s) involving 176
2461.1,M-1853,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:I,Steatite,Y,R/L,+032-820-140-005+,005-140-820-032,005:SIGN | 140:LEADING_FORMULA_MARKER | 820:INITIAL_TITLE_OR_CLASSIFIER | PRODUCTIVE_SLOT(820_<END>)[032],SIGN LEADING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER PRODUCTIVE_SLOT,InitialClassifierFormula,classifier/title-led label,820|<END>:032@4-4,,032,032,0.53,Medium,compare all artifacts in frames 820|<END>; test reused filler(s) 032 across frames; inspect minimal alternation(s) involving 032
2471.1,M-1903,Lower Indus,Mohenjo-daro,SEAL:S,Buff,Steatite,Y,R/L,+740-861-125+,125-861-740,125:SIGN | 861:INITIAL_TITLE_OR_CLASSIFIER | PRODUCTIVE_SLOT(861_<END>)[740],SIGN INITIAL_TITLE_OR_CLASSIFIER PRODUCTIVE_SLOT,ClassifierSlotTerminalFormula,classifier + entity/title/place + terminal marker,861|<END>:740@3-3,,740,740,0.53,Medium,compare all artifacts in frames 861|<END>; test reused filler(s) 740 across frames; inspect minimal alternation(s) involving 740
2476.1,M-1845,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Y,R/L,+740-803-235+,235-803-740,235:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(235_<END>)[803-740],LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,235|<END>:803-740@2-3,,803-740,803-740,0.53,Medium,compare all artifacts in frames 235|<END>; test reused filler(s) 803-740 across frames; inspect minimal alternation(s) involving 803-740
2543.1,M-15,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+090-740-176-002-861+,861-002-176-740-090,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX | 090:SLOT_FINAL_MODIFIER,INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,002|740:176@3-3,,176,176,0.53,Medium,compare all artifacts in frames 002|740; test reused filler(s) 176 across frames; inspect minimal alternation(s) involving 176
2581.1,M-53,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+090-740-220-016-002-297-190-920-140+,140-920-190-297-002-016-220-740-090,140:LEADING_FORMULA_MARKER | 920:LEADING_FORMULA_MARKER | 190:SIGN | 297:SIGN | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[016-220] | 740:TERMINAL_TITLE_OR_SUFFIX | 090:SLOT_FINAL_MODIFIER,LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,002|740:016-220@6-7,,,016-220,0.53,Medium,compare all artifacts in frames 002|740; inspect minimal alternation(s) involving 016-220
2675.1,M-148,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,Steatite,Y,R/L,+740-817-556+,556-817-740,556:SIGN | 817:INITIAL_TITLE_OR_CLASSIFIER | PRODUCTIVE_SLOT(817_<END>)[740],SIGN INITIAL_TITLE_OR_CLASSIFIER PRODUCTIVE_SLOT,ClassifierSlotTerminalFormula,classifier + entity/title/place + terminal marker,817|<END>:740@3-3,,740,740,0.53,Medium,compare all artifacts in frames 817|<END>; test reused filler(s) 740 across frames; inspect minimal alternation(s) involving 740
2682.1,M-155,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,Steatite,Y,R/L,+740-176-031+,031-176-740,031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[176-740],LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,031|<END>:176-740@2-3,,176-740,176-740,0.53,Medium,compare all artifacts in frames 031|<END>; test reused filler(s) 176-740 across frames; inspect minimal alternation(s) involving 176-740
2705.1,M-179,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Y,R/L,+390-003+,003-390,PRODUCTIVE_SLOT(<START>_390)[003] | 390:CLOSING_FORMULA_MARKER,PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER,LowEvidenceSequence,undetermined; requires visual/contextual evidence,<START>|390:003@1-1,,003,003,0.53,Medium,compare all artifacts in frames <START>|390; test reused filler(s) 003 across frames; inspect minimal alternation(s) involving 003
297.1,H-874,Inter-Riverine,Harappa,TAB:B,,Clay,Y,R/L,+520-233-240+,240-233-520,PRODUCTIVE_SLOT(<START>_520)[240-233] | PRODUCTIVE_SLOT(233_<END>)[520],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|520:240-233@1-2; 233|<END>:520@3-3,,520,520,0.53,Medium,"compare all artifacts in frames 233|<END>, <START>|520; test reused filler(s) 520 across frames; inspect minimal alternation(s) involving 520"
3300.1,M-895,Lower Indus,Mohenjo-daro,SEAL:S,Bull1,Steatite,Y,R/L,+740-048-002-817+,817-002-048-740,817:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[048] | 740:TERMINAL_TITLE_OR_SUFFIX,INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,002|740:048@3-3,,048,048,0.53,Medium,compare all artifacts in frames 002|740; test reused filler(s) 048 across frames; inspect minimal alternation(s) involving 048
3390.1,M-998,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:I,Steatite,Y,R/L,+820-390-590+,590-390-820,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 820:INITIAL_TITLE_OR_CLASSIFIER,PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER,InitialClassifierFormula,classifier/title-led label,<START>|390:590@1-1,,590,590,0.53,Medium,compare all artifacts in frames <START>|390; test reused filler(s) 590 across frames; inspect minimal alternation(s) involving 590
3490.1,M-1119,Lower Indus,Mohenjo-daro,SEAL:S,Zebu,Steatite,Y,R/L,+740-803-002-820-741+,741-820-002-803-740,741:SLOT_INITIAL_MODIFIER | 820:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[803] | 740:TERMINAL_TITLE_OR_SUFFIX,SLOT_INITIAL_MODIFIER INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,002|740:803@4-4,,803,803,0.53,Medium,compare all artifacts in frames 002|740; test reused filler(s) 803 across frames; inspect minimal alternation(s) involving 803
3727.1,M-1448,Lower Indus,Mohenjo-daro,TAB:C,Othr,Copper,Y,R/L,+740-176-233-831+,831-233-176-740,PRODUCTIVE_SLOT(<START>_233)[831] | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[176-740],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|233:831@1-1; 233|<END>:176-740@3-4,,176-740,176-740,0.53,Medium,"compare all artifacts in frames 233|<END>, <START>|233; test reused filler(s) 176-740 across frames; inspect minimal alternation(s) involving 176-740"
3924.1,H-1046,Inter-Riverine,Harappa,SEAL:S,Bull1:W,-,Y,R/L,+151-390-590+,590-390-151,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 151:TERMINAL_TITLE_OR_SUFFIX,PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|390:590@1-1,,590,590,0.53,Medium,compare all artifacts in frames <START>|390; test reused filler(s) 590 across frames; inspect minimal alternation(s) involving 590
4224.1,-,Gujarat/Kutch,Dholavira,SEAL:S,Bull1,-,Y,R/L,+740-235-220+,220-235-740,220:SLOT_FINAL_MODIFIER | 235:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(235_<END>)[740],SLOT_FINAL_MODIFIER LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,235|<END>:740@3-3,,740,740,0.53,Medium,compare all artifacts in frames 235|<END>; test reused filler(s) 740 across frames; inspect minimal alternation(s) involving 740
4580.1,H-1155,Inter-Riverine,Harappa,TAB:B,Bull1:I,-,Y,R/L,+520-240-002-405-501+,501-405-002-240-520,PRODUCTIVE_SLOT(<START>_240)[501-405-002] | PRODUCTIVE_SLOT(002_<END>)[240-520],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|240:501-405-002@1-3; 002|<END>:240-520@4-5,,240-520,240-520,0.53,Medium,"compare all artifacts in frames 002|<END>, <START>|240; test reused filler(s) 240-520 across frames; inspect minimal alternation(s) involving 240-520"
464.1,H-585,Inter-Riverine,Harappa,SEAL:S,Zebu,-,Y,R/L,+390-003+,003-390,PRODUCTIVE_SLOT(<START>_390)[003] | 390:CLOSING_FORMULA_MARKER,PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER,LowEvidenceSequence,undetermined; requires visual/contextual evidence,<START>|390:003@1-1,,003,003,0.53,Medium,compare all artifacts in frames <START>|390; test reused filler(s) 003 across frames; inspect minimal alternation(s) involving 003
6.1,Ad-1,Lower Indus,Allahdino,SEAL:S,Bull1,Steatite,Y,R/L,+740-390-590+,590-390-740,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 740:TERMINAL_TITLE_OR_SUFFIX,PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|390:590@1-1,,590,590,0.53,Medium,compare all artifacts in frames <START>|390; test reused filler(s) 590 across frames; inspect minimal alternation(s) involving 590
631.2,H-1842,Inter-Riverine,Harappa,TAB:B,,Faience,Y,R/L,+740-690-435-176-233-803+,803-233-176-435-690-740,PRODUCTIVE_SLOT(<START>_233)[803] | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[176-435-690-740],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|233:803@1-1; 233|<END>:176-435-690-740@3-6,,803,803,0.53,Medium,"compare all artifacts in frames 233|<END>, <START>|233; test reused filler(s) 803 across frames; inspect minimal alternation(s) involving 803"
73.1,C-68,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,Y,R/L,+032-031/740-791-713+,713-791-740-031-032,713:SIGN | 791:SIGN | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],SIGN SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,031|<END>:032@5-5,,032,032,0.53,Medium,compare all artifacts in frames 031|<END>; test reused filler(s) 032 across frames; inspect minimal alternation(s) involving 032
89.1,C-1,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,Y,R/L,+031-840-140-740-101-002-365-287-034+,034-287-365-002-101-740-140-840-031,034:SIGN | 287:SIGN | 365:SIGN | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[101] | 740:TERMINAL_TITLE_OR_SUFFIX | 140:LEADING_FORMULA_MARKER | 840:SIGN | 031:LEADING_FORMULA_MARKER,SIGN SIGN SIGN SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,002|740:101@5-5,,,101,0.53,Medium,compare all artifacts in frames 002|740; inspect minimal alternation(s) involving 101
897.2,H-2089,Inter-Riverine,Harappa,TAB:I,,Steatite,Y,R/L,+869-060-001-820+,820-001-060-869,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | 060:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(060_<END>)[869],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,InitialClassifierFormula,classifier/title-led label,<START>|001:820@1-1; 060|<END>:869@4-4,,820,820,0.53,Medium,"compare all artifacts in frames 060|<END>, <START>|001; test reused filler(s) 820 across frames; inspect minimal alternation(s) involving 820"
90.1,C-2,Lower Indus,Chanhu-daro,SEAL:S,Bull1:L,Steatite,Y,R/L,+740-390-590+,590-390-740,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 740:TERMINAL_TITLE_OR_SUFFIX,PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|390:590@1-1,,590,590,0.53,Medium,compare all artifacts in frames <START>|390; test reused filler(s) 590 across frames; inspect minimal alternation(s) involving 590
1297.1,H-273,Inter-Riverine,Harappa,SEAL:S,Bull1,Steatite,N,R/L,]000-240-002-820+,820-002-240,PRODUCTIVE_SLOT(<START>_240)[820-002] | PRODUCTIVE_SLOT(002_<END>)[240],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,InitialClassifierFormula,classifier/title-led label,<START>|240:820-002@1-2; 002|<END>:240@3-3,,240,240; 820-002,0.52,Medium,"compare all artifacts in frames 002|<END>, <START>|240; test reused filler(s) 240 across frames; inspect minimal alternation(s) involving 240, 820-002"
1451.1,H-462,Inter-Riverine,Harappa,SEAL:S,Bull1,Steatite,?,R/L,]003-741-630+,630-741-003,PRODUCTIVE_SLOT(<START>_741)[630] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[003],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,LowEvidenceSequence,undetermined; requires visual/contextual evidence,<START>|741:630@1-1; 741|<END>:003@3-3,,003,003; 630,0.52,Medium,"compare all artifacts in frames 741|<END>, <START>|741; test reused filler(s) 003 across frames; inspect minimal alternation(s) involving 003, 630"
1665.1,H-773,Inter-Riverine,Harappa,TAB:B,,Faience,Y,R/L,+740-798-803-002-390-530-741+,741-530-390-002-803-798-740,PRODUCTIVE_SLOT(<START>_390)[741-530] | 390:CLOSING_FORMULA_MARKER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[803-798] | 740:TERMINAL_TITLE_OR_SUFFIX,PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,PrimeEntityAdministrativeFormula,commodity/person/place; measure; object class; title phrase,<START>|390:741-530@1-2; 002|740:803-798@5-6,,,,0.52,Medium,"compare all artifacts in frames 002|740, <START>|390"
2084.1,L-142,Gujarat/Kutch,Lothal,TAG:P,Bull1,Clay,Y,R/L,+140-015-001-031-692+,692-031-001-015-140,PRODUCTIVE_SLOT(<START>_001)[692-031] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[015-140],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,LowEvidenceSequence,undetermined; requires visual/contextual evidence,<START>|001:692-031@1-2; 001|<END>:015-140@4-5,,,,0.52,Medium,"compare all artifacts in frames 001|<END>, <START>|001"
2773.1,M-250,Lower Indus,Mohenjo-daro,SEAL:S,Gaur,Steatite,Y,R/L,+804-233-231+,231-233-804,PRODUCTIVE_SLOT(<START>_233)[231] | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[804],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,LowEvidenceSequence,undetermined; requires visual/contextual evidence,<START>|233:231@1-1; 233|<END>:804@3-3,,231,,0.52,Medium,"compare all artifacts in frames 233|<END>, <START>|233; test reused filler(s) 231 across frames"
3000.1,M-525,Lower Indus,Mohenjo-daro,TAB:C,Gaur,Copper,Y,R/L,+423-003-001-900-740-690-435-255+,255-435-690-740-900-001-003-423,PRODUCTIVE_SLOT(<START>_001)[255-435-690-740-900] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[003-423],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|001:255-435-690-740-900@1-5; 001|<END>:003-423@7-8,,,,0.52,Medium,"compare all artifacts in frames 001|<END>, <START>|001"
3741.1,M-1475,Lower Indus,Mohenjo-daro,TAB:C,Buff,Copper,Y,R/L,+424-003-001-900-740-690-435-255+,255-435-690-740-900-001-003-424,PRODUCTIVE_SLOT(<START>_001)[255-435-690-740-900] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[003-424],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|001:255-435-690-740-900@1-5; 001|<END>:003-424@7-8,,,,0.52,Medium,"compare all artifacts in frames 001|<END>, <START>|001"
405.2,H-2192,Inter-Riverine,Harappa,TAB:I,,Steatite,Y,R/L,+740-630-240-031-032-171+,171-032-031-240-630-740,PRODUCTIVE_SLOT(<START>_240)[171-032-031] | PRODUCTIVE_SLOT(031_<END>)[240-630-740],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|240:171-032-031@1-3; 031|<END>:240-630-740@4-6,,,,0.52,Medium,"compare all artifacts in frames 031|<END>, <START>|240"
5228.1,-,Persian Gulf,Karzakan,SEAL:C,Gaur,-,Y,R/L,+033-001-032-091+,091-032-001-033,PRODUCTIVE_SLOT(<START>_001)[091-032] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[033],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,LowEvidenceSequence,undetermined; requires visual/contextual evidence,<START>|001:091-032@1-2; 001|<END>:033@4-4,,033,,0.52,Medium,"compare all artifacts in frames 001|<END>, <START>|001; test reused filler(s) 033 across frames"
677.1,H-2024,Inter-Riverine,Harappa,TAB:B,Mult,Clay,Y,R/L,+090-740-176-741-347+,347-741-176-740-090,PRODUCTIVE_SLOT(<START>_741)[347] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[176-740-090],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|741:347@1-1; 741|<END>:176-740-090@3-5,,,176-740-090; 347,0.52,Medium,"compare all artifacts in frames 741|<END>, <START>|741; inspect minimal alternation(s) involving 176-740-090, 347"
800.1,H-1935,Inter-Riverine,Harappa,TAB:B,Mult,Faience,Y,R/L,+090-740-176-741-347+,347-741-176-740-090,PRODUCTIVE_SLOT(<START>_741)[347] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[176-740-090],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|741:347@1-1; 741|<END>:176-740-090@3-5,,,176-740-090; 347,0.52,Medium,"compare all artifacts in frames 741|<END>, <START>|741; inspect minimal alternation(s) involving 176-740-090, 347"
807.1,H-1934,Inter-Riverine,Harappa,TAB:B,Mult,Faience,Y,R/L,+090-740-176-741-347+,347-741-176-740-090,PRODUCTIVE_SLOT(<START>_741)[347] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[176-740-090],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|741:347@1-1; 741|<END>:176-740-090@3-5,,,176-740-090; 347,0.52,Medium,"compare all artifacts in frames 741|<END>, <START>|741; inspect minimal alternation(s) involving 176-740-090, 347"
842.1,H-2026,Inter-Riverine,Harappa,TAB:B,Mult,Clay,Y,R/L,+090-740-176-741-347+,347-741-176-740-090,PRODUCTIVE_SLOT(<START>_741)[347] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[176-740-090],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|741:347@1-1; 741|<END>:176-740-090@3-5,,,176-740-090; 347,0.52,Medium,"compare all artifacts in frames 741|<END>, <START>|741; inspect minimal alternation(s) involving 176-740-090, 347"
880.1,H-2028,Inter-Riverine,Harappa,TAB:B,Mult,Clay,Y,R/L,+090-740-176-741-347+,347-741-176-740-090,PRODUCTIVE_SLOT(<START>_741)[347] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[176-740-090],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|741:347@1-1; 741|<END>:176-740-090@3-5,,,176-740-090; 347,0.52,Medium,"compare all artifacts in frames 741|<END>, <START>|741; inspect minimal alternation(s) involving 176-740-090, 347"
882.1,H-2029,Inter-Riverine,Harappa,TAB:B,Mult,Clay,Y,R/L,+090-740-176-741-347+,347-741-176-740-090,PRODUCTIVE_SLOT(<START>_741)[347] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[176-740-090],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|741:347@1-1; 741|<END>:176-740-090@3-5,,,176-740-090; 347,0.52,Medium,"compare all artifacts in frames 741|<END>, <START>|741; inspect minimal alternation(s) involving 176-740-090, 347"
