"SignA","SignB","TotalA","TotalB","SharedFeatures","Cosine","ReviewPriority"
"540","892","22","90","4","0.671972","Medium"
"336","388","11","59","2","0.671937","Medium"
"031","840","258","132","23","0.671935","Medium"
"219","798","7","151","3","0.671931","Medium"
"215","930","11","8","2","0.671871","Medium"
"019","371","6","11","2","0.671751","Medium"
"175","503","27","82","3","0.671694","Medium"
"323","413","7","57","2","0.671642","Medium"
"140","550","110","124","14","0.671625","Medium"
"032","519","588","17","6","0.671565","Medium"
"370","806","10","135","2","0.671563","Medium"
"091","190","28","11","3","0.671551","Medium"
"702","817","10","221","6","0.671535","Medium"
"004","139","99","5","3","0.67145","Medium"
"411","742","11","57","4","0.671317","Medium"
"234","742","9","57","3","0.671317","Medium"
"235","519","250","17","7","0.671167","Medium"
"140","519","110","17","4","0.671154","Medium"
"371","440","11","58","3","0.671098","Medium"
"456","702","6","10","4","0.67082","Medium"
"006","702","7","10","3","0.67082","Medium"
"234","804","9","8","3","0.67082","Medium"
"370","702","10","10","3","0.67082","Medium"
"515","871","18","5","3","0.67082","Medium"
"603","927","7","11","3","0.67082","Medium"
"104","110","26","6","2","0.67082","Medium"
"110","392","6","6","2","0.67082","Medium"
"110","871","6","5","2","0.67082","Medium"
"125","777","59","7","2","0.67082","Medium"
"139","219","5","7","2","0.67082","Medium"
"153","592","5","11","2","0.67082","Medium"
"201","880","5","11","2","0.67082","Medium"
"518","880","7","11","2","0.67082","Medium"
"679","700","19","578","2","0.670744","Medium"
"416","530","57","19","4","0.670694","Medium"
"032","137","588","16","3","0.670507","Medium"
"005","540","49","22","4","0.670456","Medium"
"382","416","21","57","7","0.670437","Medium"
"416","692","57","77","4","0.670267","Medium"
"336","531","11","5","2","0.670263","Medium"
"064","226","14","41","2","0.670184","Medium"
"877","904","22","64","4","0.670176","Medium"
"440","791","58","6","4","0.670154","Medium"
"064","215","14","11","3","0.67007","Medium"
"630","821","40","14","3","0.67007","Medium"
"495","806","30","135","5","0.669916","Medium"
"360","413","12","57","3","0.669894","Medium"
"015","806","8","135","5","0.669874","Medium"
"190","920","11","153","7","0.66985","Medium"
"015","803","8","134","6","0.669787","Medium"
"140","920","110","153","15","0.669756","Medium"
"556","749","11","6","2","0.669711","Medium"
"503","806","82","135","7","0.669561","Medium"
"190","692","11","77","4","0.669561","Medium"
"215","892","11","90","4","0.669485","Medium"
"317","440","13","58","3","0.669467","Medium"
"745","806","36","135","5","0.669435","Medium"
"156","317","107","13","3","0.669366","Medium"
"495","803","30","134","5","0.669229","Medium"
"032","717","588","55","17","0.669148","Medium"
"033","745","523","36","10","0.66904","Medium"
"411","440","11","58","2","0.668994","Medium"
"176","337","217","14","3","0.668936","Medium"
"440","803","58","134","14","0.668904","Medium"
"103","222","5","17","3","0.668869","Medium"
"354","803","15","134","4","0.668842","Medium"
"531","752","5","53","2","0.668815","Medium"
"015","190","8","11","5","0.668734","Medium"
"019","803","6","134","3","0.668713","Medium"
"360","861","12","272","5","0.668681","Medium"
"323","370","7","10","2","0.668648","Medium"
"003","231","259","95","14","0.668625","Medium"
"540","621","22","22","4","0.668555","Medium"
"263","540","6","22","2","0.668541","Medium"
"151","426","94","7","3","0.668528","Medium"
"064","824","14","32","2","0.668504","Medium"
"519","554","17","15","3","0.668503","Medium"
"260","806","8","135","3","0.668494","Medium"
"015","139","8","5","3","0.668153","Medium"
"175","456","27","6","3","0.668153","Medium"
"015","027","8","6","2","0.668153","Medium"
"015","028","8","5","2","0.668153","Medium"
"015","110","8","6","2","0.668153","Medium"
"110","250","6","9","2","0.668153","Medium"
"110","360","6","12","2","0.668153","Medium"
"250","849","9","8","2","0.668153","Medium"
"353","456","10","6","2","0.668153","Medium"
"360","371","12","11","2","0.668153","Medium"
"360","849","12","8","2","0.668153","Medium"
"456","634","6","5","2","0.668153","Medium"
"031","382","258","21","12","0.668027","Medium"
"151","871","94","5","3","0.66792","Medium"
"013","140","50","110","9","0.667903","Medium"
"323","820","7","244","3","0.667893","Medium"
"176","443","217","5","2","0.667877","Medium"
"370","518","10","7","2","0.667823","Medium"
"232","565","10","15","5","0.667561","Medium"
"064","790","14","55","3","0.667561","Medium"
"702","808","10","8","3","0.667424","Medium"
"006","831","7","18","2","0.667417","Medium"
"456","831","6","18","2","0.667417","Medium"
"617","790","77","55","5","0.667055","Medium"
"005","590","49","228","13","0.666982","Medium"
"139","408","5","9","2","0.666973","Medium"
"392","749","6","6","2","0.666886","Medium"
"749","871","6","5","2","0.666886","Medium"
"003","110","259","6","2","0.666876","Medium"
"698","817","10","221","2","0.666835","Medium"
"234","413","9","57","2","0.666818","Medium"
"380","519","8","17","2","0.666769","Medium"
"519","681","17","5","2","0.666769","Medium"
"049","175","6","27","4","0.666667","Medium"
"388","564","59","6","3","0.666667","Medium"
"136","155","13","8","2","0.666667","Medium"
"139","352","5","5","2","0.666667","Medium"
"155","241","8","12","2","0.666667","Medium"
"175","681","27","5","2","0.666667","Medium"
"411","511","11","12","2","0.666667","Medium"
"031","717","258","55","20","0.666579","Medium"
"692","808","77","8","2","0.666557","Medium"
"892","942","90","10","2","0.66651","Medium"
"154","236","45","26","4","0.666383","Medium"
"005","440","49","58","7","0.666336","Medium"
"226","527","41","63","4","0.666276","Medium"
"226","617","41","77","4","0.666156","Medium"
"408","413","9","57","2","0.666029","Medium"
"540","791","22","6","3","0.666007","Medium"
"219","820","7","244","2","0.666","Medium"
"031","066","258","18","6","0.665868","Medium"
"151","232","94","10","8","0.665731","Medium"
"091","540","28","22","2","0.665623","Medium"
"391","698","10","10","2","0.665558","Medium"
"391","777","10","7","2","0.665558","Medium"
"443","482","5","41","2","0.665513","Medium"
"031","550","258","124","18","0.665473","Medium"
"155","621","8","22","3","0.665408","Medium"
"480","746","42","9","4","0.665299","Medium"
"190","491","11","18","2","0.665209","Medium"
"091","139","28","5","3","0.665133","Medium"
"408","511","9","12","3","0.665133","Medium"
"027","091","6","28","2","0.665133","Medium"
"028","091","5","28","2","0.665133","Medium"
"091","110","28","6","2","0.665133","Medium"
"049","384","6","33","3","0.665129","Medium"
"014","416","8","57","3","0.665092","Medium"
"015","413","8","57","2","0.664968","Medium"
"031","592","258","11","5","0.664644","Medium"
"263","821","6","14","4","0.664557","Medium"
"137","456","16","6","2","0.664557","Medium"
"360","440","12","58","4","0.66453","Medium"
"368","392","120","6","5","0.664529","Medium"
"808","920","8","153","4","0.664452","Medium"
"103","215","5","11","4","0.664364","Medium"
"215","742","11","57","4","0.664364","Medium"
"031","518","258","7","7","0.664325","Medium"
"014","031","8","258","7","0.664301","Medium"
"226","804","41","8","3","0.664234","Medium"
"642","923","8","45","2","0.664197","Medium"
"221","440","6","58","3","0.664141","Medium"
"101","221","8","6","4","0.664078","Medium"
"019","104","6","26","2","0.664078","Medium"
"104","942","26","10","2","0.664078","Medium"
"392","942","6","10","2","0.664078","Medium"
"871","942","5","10","2","0.664078","Medium"
"511","515","12","18","2","0.663953","Medium"
"175","315","27","11","6","0.663914","Medium"
"154","423","45","7","2","0.663856","Medium"
"125","540","59","22","5","0.663718","Medium"
"161","368","13","120","4","0.663698","Medium"
"390","868","290","13","2","0.663616","Medium"
"016","455","49","46","8","0.663573","Medium"
"100","269","134","11","3","0.663561","Medium"
"388","877","59","22","2","0.663561","Medium"
"098","104","10","26","2","0.663509","Medium"
"103","717","5","55","4","0.663504","Medium"
"416","456","57","6","3","0.663403","Medium"
"603","773","7","9","3","0.663403","Medium"
"520","592","321","11","3","0.663331","Medium"
"226","390","41","290","11","0.663129","Medium"
"190","905","11","13","3","0.663043","Medium"
"250","347","9","10","2","0.662994","Medium"
"347","360","10","12","2","0.662994","Medium"
"235","808","250","8","2","0.662991","Medium"
"032","360","588","12","6","0.662967","Medium"
"697","790","10","55","3","0.662913","Medium"
"747","790","7","55","3","0.662913","Medium"
"200","565","5","15","2","0.662913","Medium"
"565","600","15","5","2","0.662913","Medium"
"391","540","10","22","3","0.662889","Medium"
"749","832","6","45","2","0.662842","Medium"
"222","690","17","119","2","0.662787","Medium"
"226","565","41","15","3","0.66275","Medium"
"749","892","6","90","2","0.662685","Medium"
"156","824","107","32","3","0.662677","Medium"
"158","236","39","26","4","0.662508","Medium"
"013","556","50","11","2","0.662336","Medium"
"003","326","259","7","2","0.662333","Medium"
"630","803","40","134","7","0.662269","Medium"
"031","703","258","12","4","0.662238","Medium"
"226","407","41","143","4","0.66215","Medium"
"031","745","258","36","11","0.662139","Medium"
"226","408","41","9","3","0.661985","Medium"
"004","219","99","7","2","0.661911","Medium"
"167","200","19","5","2","0.661896","Medium"
"423","740","7","1928","2","0.661851","Medium"
"336","337","11","14","3","0.661794","Medium"
"407","411","143","11","2","0.661731","Medium"
"140","234","110","9","4","0.661729","Medium"
"804","930","8","8","2","0.661724","Medium"
"408","742","9","57","3","0.661638","Medium"
"263","792","6","13","2","0.661559","Medium"
"408","853","9","11","2","0.661559","Medium"
"215","565","11","15","4","0.66154","Medium"
"250","851","9","7","3","0.661438","Medium"
"360","456","12","6","3","0.661438","Medium"
"006","015","7","8","2","0.661438","Medium"
"006","360","7","12","2","0.661438","Medium"
"015","370","8","10","2","0.661438","Medium"
"015","942","8","10","2","0.661438","Medium"
"139","175","5","27","2","0.661438","Medium"
"139","353","5","10","2","0.661438","Medium"
"250","942","9","10","2","0.661438","Medium"
"326","360","7","12","2","0.661438","Medium"
"360","942","12","10","2","0.661438","Medium"
"700","804","578","8","3","0.661416","Medium"
"034","091","184","28","2","0.661307","Medium"
"368","621","120","22","7","0.661282","Medium"
"380","803","8","134","4","0.661268","Medium"
"005","018","49","7","4","0.661204","Medium"
"048","792","18","13","3","0.661098","Medium"
"263","717","6","55","3","0.661094","Medium"
"140","817","110","221","5","0.661059","Medium"
"140","221","110","6","5","0.661048","Medium"
"540","920","22","153","6","0.660882","Medium"
"221","384","6","33","4","0.660828","Medium"
"007","384","6","33","3","0.660828","Medium"
"352","698","5","10","2","0.660827","Medium"
"098","831","10","18","2","0.660793","Medium"
"235","820","250","244","18","0.660677","Medium"
"032","480","588","42","6","0.660641","Medium"
"103","798","5","151","5","0.660543","Medium"
"036","698","8","10","3","0.660338","Medium"
"190","352","11","5","3","0.660296","Medium"
"215","700","11","578","3","0.660286","Medium"
"110","156","6","107","2","0.660188","Medium"
"003","942","259","10","2","0.660174","Medium"
"018","590","7","228","5","0.660106","Medium"
"226","400","41","502","4","0.660098","Medium"
"104","880","26","11","2","0.66","Medium"
"032","821","588","14","9","0.659982","Medium"
"110","165","6","31","2","0.659975","Medium"
"380","806","8","135","3","0.659903","Medium"
"634","806","5","135","2","0.659903","Medium"
"007","760","6","134","3","0.659887","Medium"
"391","556","10","11","3","0.659773","Medium"
"136","368","13","120","6","0.659702","Medium"
"690","923","119","45","3","0.65964","Medium"
"004","235","99","250","9","0.659557","Medium"
"390","824","290","32","7","0.659556","Medium"
"034","808","184","8","2","0.65955","Medium"
"371","692","11","77","3","0.659511","Medium"
"033","853","523","11","4","0.659429","Medium"
"556","702","11","10","2","0.65938","Medium"
"125","491","59","18","3","0.659309","Medium"
"033","110","523","6","2","0.659129","Medium"
"380","540","8","22","2","0.659127","Medium"
"540","681","22","5","2","0.659127","Medium"
"511","824","12","32","3","0.659088","Medium"
"004","844","99","14","6","0.659083","Medium"
"019","806","6","135","2","0.65894","Medium"
"634","817","5","221","2","0.658861","Medium"
"139","806","5","135","4","0.658744","Medium"
"003","530","259","19","5","0.658734","Medium"
"219","382","7","21","5","0.658733","Medium"
"717","821","55","14","5","0.658733","Medium"
"219","260","7","8","2","0.658733","Medium"
"032","323","588","7","4","0.658564","Medium"
"323","440","7","58","3","0.658479","Medium"
"003","018","259","7","4","0.658468","Medium"
"091","942","28","10","2","0.658448","Medium"
"413","920","57","153","5","0.658427","Medium"
"215","556","11","11","2","0.658243","Medium"
"072","231","15","95","6","0.658179","Medium"
"137","808","16","8","2","0.658145","Medium"
"015","440","8","58","3","0.658078","Medium"
"773","798","9","151","7","0.657946","Medium"
"520","679","321","19","2","0.657936","Medium"
"408","545","9","10","2","0.657898","Medium"
"221","531","6","5","3","0.657794","Medium"
"421","422","5","8","2","0.657794","Medium"
"234","370","9","10","2","0.657733","Medium"
"005","380","49","8","2","0.657684","Medium"
"005","681","49","5","2","0.657684","Medium"
"034","777","184","7","2","0.657534","Medium"
"370","408","10","9","2","0.657411","Medium"
"221","564","6","6","3","0.657376","Medium"
"015","219","8","7","2","0.657376","Medium"
"049","927","6","11","2","0.657376","Medium"
"153","159","5","6","2","0.657376","Medium"
"200","679","5","19","2","0.657376","Medium"
"221","380","6","8","2","0.657376","Medium"
"221","681","6","5","2","0.657376","Medium"
"600","679","5","19","2","0.657376","Medium"
"740","790","1928","55","17","0.657244","Medium"
"592","679","11","19","2","0.657143","Medium"
"772","900","10","112","2","0.657125","Medium"
"221","806","6","135","5","0.657118","Medium"
"031","072","258","15","8","0.657014","Medium"
"391","416","10","57","3","0.656938","Medium"
"049","235","6","250","5","0.65692","Medium"
"702","861","10","272","7","0.656883","Medium"
"007","460","6","39","3","0.656845","Medium"
"317","527","13","63","3","0.656845","Medium"
"154","426","45","7","2","0.65679","Medium"
"015","175","8","27","2","0.656599","Medium"
"015","353","8","10","2","0.656599","Medium"
"360","634","12","5","2","0.656599","Medium"
"413","817","57","221","4","0.656567","Medium"
"091","125","28","59","3","0.656551","Medium"
"215","242","11","6","3","0.656532","Medium"
"519","603","17","7","3","0.656532","Medium"
"621","869","22","6","2","0.656532","Medium"
"408","491","9","18","3","0.656511","Medium"
"407","565","143","15","3","0.656432","Medium"
"215","617","11","77","4","0.656295","Medium"
"139","790","5","55","3","0.65625","Medium"
"003","137","259","16","4","0.656225","Medium"
"019","416","6","57","2","0.656113","Medium"
"515","892","18","90","3","0.655902","Medium"
"013","091","50","28","6","0.65588","Medium"
"681","806","5","135","2","0.655854","Medium"
"006","323","7","7","2","0.655789","Medium"
"371","777","11","7","2","0.655744","Medium"
"368","520","120","321","11","0.655724","Medium"
"415","455","176","46","11","0.655571","Medium"
"642","760","8","134","2","0.65551","Medium"
"153","390","5","290","3","0.655503","Medium"
"426","740","7","1928","3","0.655294","Medium"
"154","159","45","6","2","0.655237","Medium"
"005","519","49","17","3","0.655098","Medium"
"159","241","6","12","2","0.655043","Medium"
"370","692","10","77","3","0.654978","Medium"
"455","630","46","40","6","0.654923","Medium"
"013","853","50","11","3","0.654886","Medium"
"004","104","99","26","6","0.654807","Medium"
"636","923","22","45","2","0.654782","Medium"
"139","391","5","10","3","0.654654","Medium"
"110","323","6","7","2","0.654654","Medium"
"110","391","6","10","2","0.654654","Medium"
"323","518","7","7","2","0.654654","Medium"
"015","235","8","250","5","0.65454","Medium"
"140","346","110","6","4","0.654477","Medium"
"519","806","17","135","5","0.654392","Medium"
"005","777","49","7","2","0.654308","Medium"
"139","413","5","57","2","0.654274","Medium"
"362","690","5","119","2","0.654212","Medium"
"440","806","58","135","10","0.654189","Medium"
"215","824","11","32","2","0.654125","Medium"
"103","540","5","22","4","0.654101","Medium"
"392","540","6","22","4","0.654101","Medium"
"540","880","22","11","3","0.654101","Medium"
"019","235","6","250","3","0.654062","Medium"
"752","900","53","112","5","0.65403","Medium"
"482","900","41","112","7","0.654003","Medium"
"140","408","110","9","3","0.653889","Medium"
"104","323","26","7","2","0.653853","Medium"
"031","851","258","7","4","0.65384","Medium"
"005","231","49","95","6","0.653833","Medium"
"717","923","55","45","5","0.653766","Medium"
"125","440","59","58","9","0.653601","Medium"
"097","098","20","10","2","0.653574","Medium"
"156","869","107","6","2","0.653553","Medium"
"156","942","107","10","2","0.653553","Medium"
"004","019","99","6","4","0.65347","Medium"
"482","792","41","13","3","0.653434","Medium"
"323","831","7","18","2","0.65342","Medium"
"165","942","31","10","2","0.653342","Medium"
"250","480","9","42","4","0.653311","Medium"
"190","413","11","57","4","0.653305","Medium"
"370","703","10","12","2","0.653275","Medium"
"518","808","7","8","2","0.653275","Medium"
"032","221","588","6","6","0.653254","Medium"
"003","745","259","36","6","0.653213","Medium"
"159","804","6","8","2","0.653197","Medium"
"642","927","8","11","2","0.653156","Medium"
"400","824","502","32","4","0.653154","Medium"
"263","519","6","17","2","0.653047","Medium"
"103","904","5","64","6","0.652988","Medium"
"527","804","63","8","4","0.652976","Medium"
"033","942","523","10","3","0.652881","Medium"
"104","190","26","11","3","0.652753","Medium"
"317","392","13","6","3","0.652753","Medium"
"014","853","8","11","2","0.652753","Medium"
"190","285","11","5","2","0.652753","Medium"
"702","853","10","11","2","0.652753","Medium"
"015","840","8","132","6","0.652744","Medium"
"226","401","41","7","2","0.652688","Medium"
"032","792","588","13","7","0.652674","Medium"
"137","853","16","11","2","0.652619","Medium"
"139","491","5","18","2","0.652547","Medium"
"140","717","110","55","13","0.652507","Medium"
"777","892","7","90","2","0.652475","Medium"
"156","159","107","6","2","0.652406","Medium"
"100","690","134","119","5","0.652392","Medium"
"703","831","12","18","2","0.652275","Medium"
"235","503","250","82","8","0.652257","Medium"
"250","698","9","10","2","0.652111","Medium"
"231","806","95","135","13","0.652057","Medium"
"772","792","10","13","2","0.652056","Medium"
"260","820","8","244","4","0.651943","Medium"
"034","491","184","18","2","0.651936","Medium"
"263","702","6","10","3","0.65192","Medium"
"221","263","6","6","2","0.65192","Medium"
"033","545","523","10","3","0.651915","Medium"
"190","777","11","7","2","0.651862","Medium"
"139","235","5","250","3","0.651767","Medium"
"527","824","63","32","3","0.651204","Medium"
"032","503","588","82","16","0.6512","Medium"
"219","354","7","15","3","0.651182","Medium"
"370","920","10","153","3","0.651111","Medium"
"380","920","8","153","4","0.651096","Medium"
"125","697","59","10","3","0.651028","Medium"
"702","777","10","7","2","0.651028","Medium"
"110","390","6","290","2","0.650997","Medium"
"090","520","195","321","5","0.650969","Medium"
"101","337","8","14","2","0.650945","Medium"
"110","831","6","18","2","0.650945","Medium"
"090","241","195","12","3","0.650842","Medium"
"235","260","250","8","5","0.650798","Medium"
"717","760","55","134","13","0.650578","Medium"
"013","545","50","10","4","0.650544","Medium"
"151","215","94","11","3","0.650522","Medium"
"110","520","6","321","2","0.650507","Medium"
"480","592","42","11","3","0.650392","Medium"
"233","803","192","134","33","0.650355","Medium"
"165","777","31","7","2","0.650323","Medium"
"156","515","107","18","2","0.650285","Medium"
"354","790","15","55","5","0.650039","Medium"
"125","790","59","55","12","0.650026","Medium"
"139","515","5","18","2","0.65","Medium"
"139","215","5","11","3","0.649934","Medium"
"515","520","18","321","2","0.649899","Medium"
"098","354","10","15","3","0.649722","Medium"
"091","803","28","134","6","0.64971","Medium"
"503","681","82","5","2","0.649626","Medium"
"031","317","258","13","4","0.649553","Medium"
"015","503","8","82","5","0.649534","Medium"
"346","416","6","57","2","0.649519","Medium"
"004","175","99","27","2","0.649469","Medium"
"236","242","26","6","3","0.649407","Medium"
"004","034","99","184","7","0.649262","Medium"
"416","861","57","272","8","0.649252","Medium"
"531","877","5","22","2","0.649227","Medium"
"392","405","6","118","5","0.64908","Medium"
"241","368","12","120","4","0.649028","Medium"
"690","904","119","64","8","0.648956","Medium"
"219","920","7","153","4","0.64893","Medium"
"242","749","6","6","2","0.648886","Medium"
"697","749","10","6","2","0.648886","Medium"
"747","749","7","6","2","0.648886","Medium"
"749","851","6","7","2","0.648886","Medium"
"016","346","49","6","3","0.648855","Medium"
"032","702","588","10","6","0.648852","Medium"
"326","416","7","57","2","0.648823","Medium"
"235","413","250","57","4","0.64866","Medium"
"125","413","59","57","7","0.648577","Medium"
"003","519","259","17","3","0.648484","Medium"
"155","520","8","321","2","0.648481","Medium"
"097","137","20","16","3","0.648466","Medium"
"034","140","184","110","6","0.648368","Medium"
"556","803","11","134","2","0.648271","Medium"
"456","518","6","7","3","0.648181","Medium"
"139","370","5","10","2","0.648181","Medium"
"326","518","7","7","2","0.648181","Medium"
"352","456","5","6","2","0.648181","Medium"
"565","777","15","7","2","0.648119","Medium"
"323","942","7","10","2","0.648074","Medium"
"391","942","10","10","2","0.648074","Medium"
"032","880","588","11","2","0.648058","Medium"
"003","905","259","13","2","0.648031","Medium"
"260","440","8","58","5","0.647943","Medium"
"440","840","58","132","9","0.647932","Medium"
"110","125","6","59","2","0.647895","Medium"
"125","346","59","6","2","0.647895","Medium"
"392","777","6","7","2","0.647895","Medium"
"777","871","7","5","2","0.647895","Medium"
"681","803","5","134","2","0.647864","Medium"
"032","190","588","11","7","0.647856","Medium"
"603","904","7","64","3","0.647821","Medium"
"049","440","6","58","4","0.647815","Medium"
"235","440","250","58","14","0.647788","Medium"
"371","817","11","221","2","0.647784","Medium"
"353","806","10","135","2","0.647757","Medium"
"018","125","7","59","4","0.647731","Medium"
"175","717","27","55","8","0.647704","Medium"
"033","808","523","8","5","0.647698","Medium"
"032","749","588","6","2","0.647649","Medium"
"091","346","28","6","2","0.64763","Medium"
"455","717","46","55","9","0.647593","Medium"
"545","550","10","124","2","0.647542","Medium"
"260","803","8","134","6","0.647484","Medium"
"090","161","195","13","4","0.647431","Medium"
"140","480","110","42","5","0.647367","Medium"
"032","630","588","40","8","0.647318","Medium"
"347","702","10","10","3","0.647183","Medium"
"491","540","18","22","2","0.64716","Medium"
"235","370","250","10","2","0.647079","Medium"
"137","408","16","9","2","0.647059","Medium"
"242","698","6","10","2","0.646997","Medium"
"530","698","19","10","2","0.646997","Medium"
"603","772","7","10","2","0.646997","Medium"
"697","698","10","10","2","0.646997","Medium"
"698","747","10","7","2","0.646997","Medium"
"698","821","10","14","2","0.646997","Medium"
"698","851","10","7","2","0.646997","Medium"
"136","540","13","22","3","0.646926","Medium"
"390","790","290","55","9","0.646547","Medium"
"064","679","14","19","2","0.646534","Medium"
"151","777","94","7","2","0.646433","Medium"
"003","501","259","31","5","0.646272","Medium"
"005","190","49","11","3","0.646135","Medium"
"790","892","55","90","8","0.646129","Medium"
"550","698","124","10","2","0.645965","Medium"
"004","806","99","135","6","0.645896","Medium"
"368","411","120","11","4","0.645893","Medium"
"495","831","30","18","3","0.645777","Medium"
"101","690","8","119","4","0.645639","Medium"
"064","392","14","6","3","0.645497","Medium"
"221","362","6","5","3","0.645497","Medium"
"515","804","18","8","3","0.645497","Medium"
"007","362","6","5","2","0.645497","Medium"
"110","804","6","8","2","0.645497","Medium"
"392","411","6","11","2","0.645497","Medium"
"104","360","26","12","2","0.645423","Medium"
"700","869","578","6","2","0.645421","Medium"
"014","235","8","250","4","0.645385","Medium"
"681","920","5","153","2","0.645231","Medium"
"388","690","59","119","6","0.645184","Medium"
"390","942","290","10","3","0.645173","Medium"
"636","760","22","134","2","0.645078","Medium"
"362","877","5","22","2","0.645055","Medium"
"698","861","10","272","3","0.644985","Medium"
"175","540","27","22","3","0.644952","Medium"
"232","740","10","1928","10","0.644908","Medium"
"031","455","258","46","15","0.644854","Medium"
"518","861","7","272","3","0.644827","Medium"
"090","515","195","18","5","0.644712","Medium"
"175","703","27","12","3","0.644658","Medium"
"634","703","5","12","2","0.644658","Medium"
"540","831","22","18","2","0.644485","Medium"
"033","125","523","59","16","0.644436","Medium"
"125","175","59","27","6","0.644424","Medium"
"808","905","8","13","2","0.644412","Medium"
"831","942","18","10","2","0.644402","Medium"
"520","942","321","10","3","0.644399","Medium"
"006","033","7","523","5","0.64439","Medium"
"241","423","12","7","2","0.644382","Medium"
"003","033","259","523","19","0.644372","Medium"
"090","136","195","13","3","0.644338","Medium"
"004","556","99","11","3","0.644333","Medium"
"440","503","58","82","10","0.6443","Medium"
"565","824","15","32","2","0.644174","Medium"
"103","630","5","40","2","0.64416","Medium"
"531","690","5","119","3","0.64413","Medium"
"636","927","22","11","2","0.644008","Medium"
"231","380","95","8","4","0.643994","Medium"
"519","900","17","112","3","0.643973","Medium"
"550","880","124","11","3","0.64396","Medium"
"098","408","10","9","2","0.643921","Medium"
"416","550","57","124","9","0.643883","Medium"
"354","519","15","17","3","0.643783","Medium"
"140","391","110","10","5","0.643749","Medium"
"637","877","5","22","2","0.643726","Medium"
"066","698","18","10","2","0.643721","Medium"
"005","346","49","6","2","0.643587","Medium"
"104","125","26","59","5","0.643544","Medium"
"234","820","9","244","5","0.643533","Medium"
"236","354","26","15","4","0.643499","Medium"
"032","920","588","153","17","0.643432","Medium"
"692","831","77","18","3","0.643153","Medium"
"004","698","99","10","2","0.642997","Medium"
"140","745","110","36","5","0.64293","Medium"
"411","832","11","45","3","0.642919","Medium"
"014","905","8","13","2","0.642896","Medium"
"067","564","8","6","3","0.642857","Medium"
"617","679","77","19","3","0.64244","Medium"
"014","034","8","184","4","0.642427","Medium"
"495","820","30","244","3","0.642347","Medium"
"790","842","55","5","2","0.642338","Medium"
"480","820","42","244","9","0.642293","Medium"
"098","221","10","6","2","0.642024","Medium"
"176","803","217","134","19","0.641959","Medium"
"817","831","221","18","3","0.641883","Medium"
"156","368","107","120","13","0.641875","Medium"
"232","236","10","26","7","0.641867","Medium"
"491","745","18","36","2","0.641867","Medium"
"392","824","6","32","3","0.641806","Medium"
"104","692","26","77","5","0.641803","Medium"
"091","745","28","36","2","0.641709","Medium"
"049","222","6","17","3","0.641689","Medium"
"803","808","134","8","3","0.641565","Medium"
"242","416","6","57","3","0.641533","Medium"
"260","360","8","12","3","0.641533","Medium"
"480","808","42","8","2","0.641493","Medium"
"153","617","5","77","2","0.641407","Medium"
"125","942","59","10","2","0.641383","Medium"
"527","679","63","19","4","0.64121","Medium"
"176","821","217","14","7","0.641163","Medium"
"407","617","143","77","5","0.641112","Medium"
"016","519","49","17","3","0.641095","Medium"
"156","679","107","19","3","0.640958","Medium"
"190","360","11","12","3","0.64087","Medium"
"034","413","184","57","2","0.640858","Medium"
"215","226","11","41","3","0.640836","Medium"
"242","790","6","55","3","0.640816","Medium"
"337","482","14","41","3","0.640726","Medium"
"371","803","11","134","6","0.640714","Medium"
"317","416","13","57","3","0.640625","Medium"
"005","006","49","7","2","0.64049","Medium"
"013","777","50","7","2","0.640399","Medium"
"032","495","588","30","12","0.640354","Medium"
"861","906","272","16","7","0.640303","Medium"
"005","098","49","10","2","0.640295","Medium"
"103","900","5","112","5","0.640156","Medium"
"455","792","46","13","4","0.64011","Medium"
"226","236","41","26","7","0.639947","Medium"
"215","384","11","33","5","0.639945","Medium"
"104","137","26","16","3","0.639945","Medium"
"426","749","7","6","2","0.639877","Medium"
"140","790","110","55","11","0.639824","Medium"
"175","360","27","12","2","0.639763","Medium"
"165","515","31","18","4","0.639668","Medium"
"066","851","18","7","3","0.639602","Medium"
"139","703","5","12","2","0.639602","Medium"
"703","849","12","8","2","0.639602","Medium"
"100","642","134","8","2","0.639594","Medium"
"337","384","14","33","2","0.639576","Medium"
"679","824","19","32","3","0.639529","Medium"
"411","892","11","90","2","0.639502","Medium"
"235","353","250","10","2","0.639501","Medium"
"235","681","250","5","2","0.639501","Medium"
"140","354","110","15","5","0.639381","Medium"
"530","545","19","10","2","0.639362","Medium"
"440","798","58","151","15","0.639341","Medium"
"408","820","9","244","2","0.639283","Medium"
"004","014","99","8","6","0.639276","Medium"
"014","803","8","134","6","0.639236","Medium"
"406","407","13","143","6","0.63922","Medium"
"232","241","10","12","4","0.639209","Medium"
"368","390","120","290","23","0.639158","Medium"
"007","222","6","17","2","0.639137","Medium"
"151","236","94","26","6","0.639109","Medium"
"007","773","6","9","2","0.63901","Medium"
"370","374","10","16","2","0.63901","Medium"
"511","842","12","5","2","0.63901","Medium"
"804","942","8","10","2","0.63901","Medium"
"125","326","59","7","4","0.638972","Medium"
"006","125","7","59","2","0.638972","Medium"
"370","905","10","13","2","0.638915","Medium"
"530","556","19","11","2","0.638915","Medium"
"003","234","259","9","4","0.638763","Medium"
"004","853","99","11","2","0.638709","Medium"
"326","413","7","57","2","0.638575","Medium"
"831","920","18","153","7","0.638458","Medium"
