"LocalCode","IcitWellsCode","Status","TotalTokens","RarityBand","CandidateClasses","Evidence"
"000","","ErodedUnknown","1881","ErodedUnknown","ErodedUnknown","ICIT documentation treats 000 as one eroded sign."
"217","217","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"219","219","ProvisionalIdentity","7","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"220","220","ProvisionalIdentity","477","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"221","221","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"222","222","ProvisionalIdentity","17","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"223","223","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"224","224","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"225","225","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"226","226","ProvisionalIdentity","41","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"227","227","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"228","228","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"229","229","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"230","230","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"231","231","ProvisionalIdentity","95","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"232","232","ProvisionalIdentity","10","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"233","233","ProvisionalIdentity","192","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"234","234","ProvisionalIdentity","9","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"235","235","ProvisionalIdentity","250","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"236","236","ProvisionalIdentity","26","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"237","237","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"240","240","ProvisionalIdentity","354","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"241","241","ProvisionalIdentity","12","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"242","242","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"243","243","ProvisionalIdentity","12","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"244","244","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"250","250","ProvisionalIdentity","9","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"251","251","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"252","252","ProvisionalIdentity","7","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"253","253","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"255","255","ProvisionalIdentity","136","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"256","256","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"257","257","ProvisionalIdentity","10","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"260","260","ProvisionalIdentity","8","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"261","261","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"262","262","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"263","263","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"264","264","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"265","265","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"266","266","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"267","267","ProvisionalIdentity","7","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"268","268","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"269","269","ProvisionalIdentity","11","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"270","270","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"271","271","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"272","272","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"276","276","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"277","277","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"278","278","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"279","279","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"280","280","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"281","281","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"285","285","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"286","286","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"287","287","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"290","290","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"291","291","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"292","292","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"293","293","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"294","294","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"295","295","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"296","296","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"297","297","ProvisionalIdentity","15","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"298","298","ProvisionalIdentity","9","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"299","299","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"300","300","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"301","301","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"302","302","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"303","303","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"304","304","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"305","305","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"306","306","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"307","307","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"308","308","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"309","309","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"310","310","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"311","311","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"315","315","ProvisionalIdentity","11","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"316","316","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"317","317","ProvisionalIdentity","13","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"318","318","ProvisionalIdentity","13","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"319","319","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"320","320","ProvisionalIdentity","20","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"321","321","ProvisionalIdentity","15","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"322","322","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"323","323","ProvisionalIdentity","7","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"324","324","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"325","325","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"326","326","ProvisionalIdentity","7","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"327","327","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"328","328","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"329","329","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"330","330","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"335","335","ProvisionalIdentity","43","Active20To99","MedialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"336","336","ProvisionalIdentity","11","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"337","337","ProvisionalIdentity","14","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"338","338","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"340","340","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"341","341","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"342","342","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"343","343","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"344","344","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"345","345","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"346","346","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"347","347","ProvisionalIdentity","10","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"348","348","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"350","350","ProvisionalIdentity","48","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"351","351","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"352","352","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"353","353","ProvisionalIdentity","10","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"354","354","ProvisionalIdentity","15","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"360","360","ProvisionalIdentity","12","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"361","361","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"362","362","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"363","363","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"365","365","ProvisionalIdentity","18","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"367","367","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"368","368","ProvisionalIdentity","120","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"370","370","ProvisionalIdentity","10","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"371","371","ProvisionalIdentity","11","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"372","372","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"373","373","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"374","374","ProvisionalIdentity","16","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"375","375","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"376","376","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"380","380","ProvisionalIdentity","8","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"381","381","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"382","382","ProvisionalIdentity","21","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"383","383","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"384","384","ProvisionalIdentity","33","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"385","385","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"386","386","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"387","387","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"388","388","ProvisionalIdentity","59","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"389","389","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"390","390","ProvisionalIdentity","290","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"391","391","ProvisionalIdentity","10","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"392","392","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"393","393","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"394","394","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"400","400","ProvisionalIdentity","502","Dominant500Plus","DominantCode;TerminalCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"401","401","ProvisionalIdentity","7","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"402","402","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"403","403","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"404","404","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"405","405","ProvisionalIdentity","118","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"406","406","ProvisionalIdentity","13","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"407","407","ProvisionalIdentity","143","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"408","408","ProvisionalIdentity","9","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"409","409","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"410","410","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"411","411","ProvisionalIdentity","11","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"412","412","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"413","413","ProvisionalIdentity","57","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"415","415","ProvisionalIdentity","176","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"416","416","ProvisionalIdentity","57","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"417","417","ProvisionalIdentity","9","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"418","418","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"420","420","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"421","421","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"422","422","ProvisionalIdentity","8","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"423","423","ProvisionalIdentity","7","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"424","424","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"425","425","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"426","426","ProvisionalIdentity","7","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"427","427","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"428","428","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"429","429","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
